company,expiry date,strike price,stock price,margin,iscall,lot,call ltp,call bid price,call bid quantity,put ltp,put bid price,put bid quantity,percentage change in price,% margin
PETRONET,25-Mar-2021,270.0,243.9,156780.0,C,3000,0.0,0.75,3000.0,0.0,17.45,69000.0,10.701107011070109,0.0
MANAPPURAM,25-Mar-2021,162.5,176.8,233985.0,P,6000,0.0,11.15,138000.0,0.0,1.65,6000.0,-8.088235294117654,0.0
MFSL,25-Mar-2021,780.0,716.05,244959.0,C,1300,0.0,0.15,1300.0,,,,8.930940576775372,0.0
MANAPPURAM,25-Mar-2021,160.0,176.8,220680.0,P,6000,0.0,14.05,12000.0,0.0,4.25,6000.0,-9.502262443438921,0.0
PETRONET,25-Mar-2021,275.0,243.9,145785.0,C,3000,0.0,0.15,3000.0,0.0,23.6,69000.0,12.75112751127511,0.0
ONGC,25-Mar-2021,88.0,97.75,298837.0,P,7700,0.0,6.65,177100.0,0.0,0.1,7700.0,-9.974424552429667,0.0
MANAPPURAM,25-Mar-2021,157.5,176.8,208755.0,P,6000,0.0,15.55,138000.0,0.0,0.85,6000.0,-10.916289592760187,0.0
MFSL,25-Mar-2021,790.0,716.05,236314.0,C,1300,0.0,0.15,1300.0,,,,10.32749109699044,0.0
PETRONET,25-Mar-2021,280.0,243.9,134760.0,C,3000,0.0,0.15,3000.0,0.0,26.95,69000.0,14.80114801148011,0.0
MANAPPURAM,25-Mar-2021,155.0,176.8,198510.0,P,6000,0.0,19.35,138000.0,0.0,0.45,6000.0,-12.330316742081454,0.0
MFSL,25-Mar-2021,800.0,716.05,227331.0,C,1300,0.0,0.5,3900.0,0.0,66.75,29900.0,11.72404161720551,0.0
MANAPPURAM,25-Mar-2021,152.5,176.8,191385.0,P,6000,0.0,21.5,138000.0,0.0,0.15,6000.0,-13.744343891402721,0.0
PETRONET,25-Mar-2021,285.0,243.9,125715.0,C,3000,0.0,0.1,3000.0,0.0,31.7,69000.0,16.851168511685113,0.0
ONGC,25-Mar-2021,87.0,97.75,291252.5,P,7700,0.0,7.6,177100.0,0.0,0.1,7700.0,-10.997442455242968,0.0
MFSL,25-Mar-2021,810.0,716.05,244270.0,C,1300,0.0,0.15,1300.0,0.0,77.2,29900.0,13.120592137420578,0.0
MANAPPURAM,25-Mar-2021,150.0,176.8,184440.0,P,6000,0.0,23.15,138000.0,3.05,3.05,24000.0,-15.158371040723987,9.921925829538061
MANAPPURAM,25-Mar-2021,147.5,176.8,178335.0,P,6000,0.0,26.2,138000.0,0.0,0.15,6000.0,-16.572398190045252,0.0
PETRONET,25-Mar-2021,290.0,243.9,116610.0,C,3000,0.0,0.1,3000.0,0.0,36.65,69000.0,18.901189011890114,0.0
PFC,25-Mar-2021,102.5,126.4,93604.5,P,6200,0.0,20.25,142600.0,0.0,0.2,12400.0,-18.90822784810127,0.0
MANAPPURAM,25-Mar-2021,145.0,176.8,171750.0,P,6000,0.0,28.45,138000.0,0.0,0.3,6000.0,-17.986425339366523,0.0
MFSL,25-Mar-2021,820.0,716.05,210860.0,C,1300,0.0,0.2,2600.0,0.0,86.65,29900.0,14.517142657635649,0.0
ONGC,25-Mar-2021,86.0,97.75,283976.0,P,7700,0.0,8.05,177100.0,0.0,0.1,7700.0,-12.020460358056265,0.0
PFC,25-Mar-2021,105.0,126.4,99665.0,P,6200,0.0,17.15,142600.0,0.0,0.15,6200.0,-16.93037974683545,0.0
ONGC,25-Mar-2021,89.0,97.75,306575.5,P,7700,0.0,4.65,177100.0,,,,-8.951406649616368,
MFSL,25-Mar-2021,770.0,716.05,255294.0,C,1300,0.0,0.15,1300.0,,,,7.534390056560303,0.0
MANAPPURAM,25-Mar-2021,165.0,176.8,246870.0,P,6000,0.0,8.65,138000.0,0.0,0.0,0.0,-6.674208144796386,0.0
PETRONET,25-Mar-2021,265.0,243.9,168285.0,C,3000,0.0,0.15,3000.0,0.0,13.85,69000.0,8.651086510865106,0.0
MANAPPURAM,25-Mar-2021,205.0,176.8,281970.0,C,6000,0.0,0.75,6000.0,0.0,0.0,0.0,15.950226244343884,0.0
PETRONET,25-Mar-2021,205.0,243.9,98235.0,P,3000,0.0,35.6,69000.0,0.0,0.1,3000.0,-15.94915949159492,0.0
ONGC,25-Mar-2021,103.0,97.75,340301.5,C,7700,0.0,0.8,15400.0,0.0,4.25,30800.0,5.3708439897698215,0.0
PETRONET,25-Mar-2021,210.0,243.9,104130.0,P,3000,0.0,18.0,69000.0,0.0,0.3,6000.0,-13.899138991389917,0.0
MANAPPURAM,25-Mar-2021,202.5,176.8,290325.0,C,6000,0.0,0.1,6000.0,,,,14.536199095022617,0.0
MFSL,25-Mar-2021,660.0,716.05,220038.0,P,1300,0.0,7.4,2600.0,0.0,0.0,0.0,-7.827665665805454,0.0
MANAPPURAM,25-Mar-2021,200.0,176.8,271260.0,C,6000,0.0,1.5,6000.0,0.0,8.35,12000.0,13.12217194570135,0.0
PETRONET,25-Mar-2021,215.0,243.9,110175.0,P,3000,0.0,14.45,69000.0,0.0,0.15,3000.0,-11.849118491184914,0.0
MANAPPURAM,25-Mar-2021,197.5,176.8,281595.0,C,6000,0.0,0.1,6000.0,,,,11.708144796380084,0.0
MFSL,25-Mar-2021,670.0,716.05,232063.0,P,1300,0.0,3.9,2600.0,0.0,0.0,0.0,-6.431115145590385,0.0
PETRONET,25-Mar-2021,220.0,243.9,116460.0,P,3000,0.0,20.75,69000.0,0.0,1.05,3000.0,-9.799097990979911,0.0
MANAPPURAM,25-Mar-2021,142.5,176.8,165705.0,P,6000,0.0,30.95,138000.0,,,,-19.40045248868779,
MANAPPURAM,25-Mar-2021,195.0,176.8,291990.0,C,6000,0.0,0.1,6000.0,,,,10.294117647058815,0.0
MFSL,25-Mar-2021,680.0,716.05,243659.0,P,1300,0.0,0.75,2600.0,0.0,0.0,0.0,-5.034564625375317,0.0
ONGC,25-Mar-2021,91.0,97.75,321436.5,P,7700,0.0,3.2,177100.0,0.0,3.0,7700.0,-6.905370843989769,0.0
MANAPPURAM,25-Mar-2021,192.5,176.8,302925.0,C,6000,0.0,0.15,6000.0,,,,8.88009049773755,0.0
PETRONET,25-Mar-2021,225.0,243.9,126765.0,P,3000,0.0,16.15,69000.0,0.0,0.15,3000.0,-7.749077490774909,0.0
MANAPPURAM,25-Mar-2021,190.0,176.8,313980.0,C,6000,0.0,4.65,6000.0,0.0,2.65,12000.0,7.466063348416283,0.0
PETRONET,25-Mar-2021,230.0,243.9,140130.0,P,3000,0.0,5.7,69000.0,0.0,0.45,3000.0,-5.6990569905699076,0.0
MFSL,25-Mar-2021,760.0,716.05,263744.0,C,1300,0.0,11.65,1300.0,,,,6.137839536345234,0.0
